word,freq
terrorism,134
terrorist,88
state,59
group,51
attack,31
political,26
act,25
one,23
used,21
united,21
violence,19
term,18
international,18
force,18
organization,17
may,17
terror,16
military,16
medium,16
use,15
nation,15
government,15
example,15
world,14
war,14
study,14
law,14
cause,13
religious,12
definition,12
civilian,12
tactic,11
since,11
people,11
often,11
new,11
conflict,11
modern,10
bombing,10
army,10
revolutionary,9
percent,9
national,9
muslim,9
irish,9
form,9
country,9
counterterrorism,9
become,9
using,8
target,8
mass,8
like,8
liberation,8
funding,8
freedom,8
fear,8
crime,8
called,8
according,8
suicide,7
research,7
party,7
including,7
include,7
hoffman,7
global,7
found,7
first,7
fighter,7
different,7
considered,7
christian,7
also,7
active,7
widely,6
whether,6
way,6
type,6
specific,6
september,6
republican,6
report,6
purpose,6
point,6
others,6
le,6
killing,6
israel,6
islamic,6
iraq,6
individual,6
ideology,6
hostage,6
enemy,6
death,6
criminal,6
case,6
carried,6
british,6
another,6
action,6
year,5
within,5
violent,5
various,5
u,5
towards,5
threat,5
theory,5
targeted,5
taliban,5
sometimes,5
social,5
several,5
security,5
scholar,5
rapoport,5
pakistan,5
nonstate,5
noncombatant,5
nationalist,5
movement,5
morally,5
moral,5
model,5
many,5
man,5
main,5
legal,5
included,5
incident,5
however,5
foreign,5
following,5
enforcement,5
domestic,5
describe,5
convention,5
connotation,5
concept,5
common,5
claim,5
civil,5
century,5
centre,5
campaign,5
based,5
argued,5
would,4
work,4
white,4
weapon,4
versus,4
time,4
thus,4
three,4
the,4
task,4
system,4
struggle,4
started,4
sense,4
resource,4
received,4
public,4
propaganda,4
profile,4
power,4
population,4
policy,4
particular,4
palestinian,4
opponent,4
number,4
needed,4
militant,4
michael,4
member,4
mean,4
make,4
majority,4
likely,4
liberty,4
least,4
leader,4
known,4
jewish,4
islamist,4
ireland,4
insurgent,4
index,4
ideological,4
identity,4
holy,4
goal,4
fight,4
field,4
family,4
developed,4
described,4
defined,4
database,4
crisis,4
created,4
could,4
committee,4
code,4
center,4
bruce,4
attention,4
article,4
argues,4
always,4
adopted,4
accepted,4
1970s,4
yet,3
wrote,3
word,3
western,3
well,3
view,3
upon,3
university,3
two,3
that,3
tend,3
tax,3
taking,3
syria,3
stated,3
spread,3
spain,3
single,3
show,3
separatist,3
said,3
risk,3
rightwing,3
resulting,3
result,3
response,3
regardless,3
regarded,3
red,3
reason,3
rapoports,3
published,3
proposed,3
professor,3
prime,3
primarily,3
premodern,3
politically,3
philosopher,3
perceived,3
pejorative,3
paramilitary,3
palestine,3
otherwise,3
order,3
or,3
operation,3
occurred,3
nothing,3
northern,3
nature,3
motivated,3
method,3
men,3
malayan,3
major,3
made,3
lost,3
libicki,3
legitimate,3
legally,3
leading,3
later,3
late,3
largely,3
large,3
justice,3
jones,3
jacobin,3
it,3
issue,3
is,3
intelligence,3
instead,3
innocent,3
history,3
hijacking,3
higher,3
hierarchy,3
hamas,3
frequently,3
free,3
former,3
five,3
fact,3
explosive,3
expert,3
ended,3
disorder,3
director,3
destruction,3
democratic,3
democracy,3
defines,3
defeated,3
converted,3
context,3
consider,3
community,3
committed,3
come,3
close,3
cite,3
charged,3
can,3
book,3
binding,3
basque,3
back,3
available,3
attempt,3
assumed,3
around,3
ancient,3
alqaeda,3
almost,3
ally,3
allied,3
aim,3
actor,3
achieve,3
academic,3
a,3
yisrael,2
wrong,2
worker,2
won,2
wolf,2
william,2
warfare,2
walter,2
vigilante,2
viewed,2
victim,2
via,2
vary,2
usually,2
universally,2
universal,2
understand,2
undermine,2
underlying,2
ulster,2
typology,2
trouble,2
tribe,2
trend,2
train,2
traced,2
titled,2
thought,2
those,2
theorist,2
territory,2
telecommunication,2
technique,2
targeting,2
taken,2
symbol,2
support,2
sunni,2
such,2
successful,2
subsequent,2
subjective,2
subject,2
studied,2
strike,2
strategy,2
still,2
status,2
statement,2
standard,2
sponsor,2
splintered,2
source,2
something,2
so,2
smuggling,2
small,2
simply,2
simple,2
significant,2
shock,2
shining,2
sewall,2
serpent,2
sentiment,2
seen,2
secular,2
school,2
sarah,2
russia,2
rule,2
role,2
right,2
revolution,2
responsible,2
researcher,2
remains,2
relationship,2
relation,2
reign,2
regime,2
referred,2
refer,2
recruit,2
rebel,2
realized,2
rarely,2
range,2
radical,2
rabin,2
publicly,2
publicity,2
provided,2
propose,2
problem,2
private,2
primary,2
presence,2
prefer,2
politics,2
play,2
plan,2
place,2
physical,2
philippine,2
