,links
452,index
453,outline
454,
455,christianity portal
456,v
457,t
458,e
459,synoptic gospels
460,transfiguration
461,apostles
462,cleansing of the temple
463,son of god
464,god's kingdom
465,son of david
466,good samaritan
467,prodigal son
468,prologue to the gospel of john
469,logos
470,bread of life
471,light of the world
472,true vine
473,chronology of jesus
474,early christianity
475,jerusalem
476,the passion
477,genealogy of jesus
478,nativity of jesus
479,mary
480,joseph
481,genealogy
482,abraham
483,david
484,adam
485,
486,gerard van honthorst
487,bethlehem
488,prophecy
489,birth of jesus
490,joseph
491,betrothed
492,virgin birth of jesus
493,holy spirit
494,acts of the apostles
495,
496,giovanni bellini
497,circumcision of jesus
498,joseph's four dreams
499,matthew 2:1
500,12
501,wise men
502,magi
503,king of the jews
504,herod the great
505,orders the murders of male infants
506,flees to egypt
507,nazareth
508,gabriel
509,caesar augustus
510,manger
511,angel announces the birth to a group of shepherds
512,have their baby circumcised on the eighth day after birth
513,presentation of jesus at the temple
514,christ child
515,return of the family of jesus to nazareth
516,unknown years of jesus
517,brothers of jesus
518,
519,the finding of the saviour in the temple
520,william holman hunt
521,galilee
522,his brothers
523,james
524,joses (or joseph)
525,judas
526,simon
527,joachim
528,anne
529,gospel of james
530,elizabeth
531,sobe
532,his ministry
533,he is crazy
534,wedding at cana
535,tektōn
536,carpenter
537,jerusalem
538,temple in jerusalem
539,presentation of jesus
540,simeon
541,passover
542,find him in the temple
543,baptism of jesus
544,temptation of christ
545,
546,the baptism of christ
547,john the baptist
548,josé ferraz de almeida júnior
549,synoptic gospels
550,jesus' baptism
551,jordan river
552,the temptations he received
553,judaean desert
554,public ministry
555,john the baptist
556,alms
557,perea
558,
559,ary scheffer
560,holy spirit
561,transfiguration
562,satan
563,galilee
564,praying
565,lamb of god
566,ministry of jesus
567,
568,carl bloch
569,jesus' important discourse
570,judea
571,galilee
572,jerusalem
573,rabbi
574,messianic secret
575,judaean desert
576,satan
577,his first disciples
578,sermon on the mount
579,calming of the storm
580,"feeding of the 5,000"
581,walking on water
582,parables
583,confession of peter
584,perean
585,sea of galilee
586,jordan river
587,final ministry in jerusalem
588,triumphal entry
589,palm sunday
590,drives the money changers
591,second temple
592,judas bargains to betray
593,last supper
594,farewell discourse
595,apostles in the new testament
596,commissioning of the twelve apostles
597,
598,james tissot
599,appoints twelve apostles
600,lamb of god
601,sermon on the plain
602,70 or 72 of his followers
603,kingdom of god
604,sermon on the mount
605,parables of jesus
606,miracles of jesus
607,sermon on the plain
608,five discourses of matthew
609,farewell discourse
610,olivet discourse
611,bread of life discourse
612,
613,jesus and the rich young man
614,heinrich hofmann
615,parables
616,kingdom of heaven
617,son of man
618,apocalyptic
619,jewish law
620,sabbath
621,loving your enemies
622,turning the other cheek
623,revelation
624,
625,the return of the prodigal son
626,spiritual
627,prodigal son
628,growing seed
629,
630,jesus cleansing a leper
631,mosaic
632,monreale cathedral
633,miracles
634,exorcisms
635,resurrections of the dead
636,turning water into wine
637,beelzebul
638,beelzebub
639,holy spirit
640,jonah
641,cleansing of ten lepers
642,raising of jairus's daughter
643,confession of peter
644,transfiguration of jesus
645,
646,transfiguration of jesus
647,carl bloch
648,peter
649,peter
650,passion week
651,triumphal entry into jerusalem
652,triumphal entry into jerusalem
653,cleansing of the temple
654,bargain of judas
655,
656,final entry into jerusalem
657,jean-léon gérôme
658,judea
659,the messiah's donkey
660,book of zechariah
661,palm fronds
662,second temple
663,question his authority
664,criticizes them and calls them hypocrites
665,judas iscariot
666,twelve apostles
667,30 silver coins
668,bethany
669,raises lazarus from the dead
670,mary of bethany
671,last supper
672,jesus predicts his betrayal
673,denial of peter
674,last supper in christian art
675,
676,last supper
677,juan de juanes
678,first epistle to the corinthians
679,jesus predicts
680,sacrament
681,ordinance
682,eucharist
683,bread of life discourse
684,institution narratives
685,rooster
686,jesus washing his disciples' feet
687,farewell discourse
688,christological
689,agony in the garden
690,kiss of judas
691,arrest of jesus
692,
693,kiss of judas
694,arrest of jesus
695,caravaggio
696,gethsemane
697,scribes
698,kisses jesus
699,arrests jesus
700,of a man
701,denies
702,roman soldiers
703,sanhedrin trial of jesus
704,pilate's court
705,jesus at herod's court
706,"jesus, king of the jews"
707,john 18:38
708,ecce homo
709,caiaphas
710,valerius gratus
711,sanhedrin
712,details of the trials
713,caiaphas
714,mocked
715,annas
716,
717,antonio ciseri
718,pontius pilate
719,son of man
720,pilate's court
721,pontius pilate
722,herod antipas
723,tetrarch
724,passover
725,barabbas
726,abba
727,inri
728,scourges jesus
729,crown of thorns
730,calvary
731,crucifixion of jesus
732,burial of jesus
733,sayings of jesus on the cross
734,crucifixion darkness
735,
736,pietro perugino
737,crucifixion
738,stabat mater
739,carrying his cross
740,via dolorosa
741,simon of cyrene
742,calvary
743,painkiller
744,cast lots
745,mock
746,one of them
747,the other
748,a group of female disciples of jesus
749,mary
750,beloved disciple
751,one soldier
752,lance
753,blood and water
754,period of darkness
755,centurion
756,son of god
757,joseph of arimathea
758,nicodemus
759,removes jesus' body from the cross
760,rock-hewn tomb
761,resurrection of jesus
762,empty tomb
763,ascension of jesus
764,overview of resurrection appearances in the gospels and paul
765,resurrection of jesus in christian art
766,ascension of jesus in christian art
767,
768,alexander andreyevich ivanov
769,resurrection of jesus
770,empty tomb
771,mary magdalene
772,other women
773,peter
774,beloved disciple
775,stole jesus' body
776,two disciples
777,emmaus
778,tangible wounds
779,thomas
780,his doubts
781,commissions the disciples
782,john 21
783,tells peter
784,ascension into heaven
785,acts of the apostles
786,stephen
787,damascus
788,paul is converted
789,ananias of damascus
790,book of revelation
791,last days of earth
792,early christianity
793,
794,good shepherd
795,acts of the apostles
796,jews
797,conversion
798,proselyte
799,jewish christians
800,orally
801,aramaic
802,greek
803,new testament
804,epistle to the galatians
805,centered in jerusalem
806,peter
807,"james, the brother of jesus"
808,john the apostle
809,his conversion
810,paul the apostle
811,non-jewish
812,new testament author
813,1st century
814,separate religion from judaism
815,destruction
816,second temple
817,hebrew bible
818,tanakh
819,religious text
820,septuagint
821,targum
822,canon of the new testament
823,historical jesus
824,quest for the historical jesus
825,scholarly interpretation of gospel elements
826,biblical criticism
827,enlightenment
828,price
829,inerrancy
830,
831,judea
832,galilee
833,judea
834,idumea
835,samaria
836,herodian
837,roman empire
838,judea
839,prefect
840,caesarea maritima
841,jerusalem
842,high priest of israel
843,galilee
844,hellenistic judaism
845,jewish religious tradition
846,hellenistic
847,fall of the western roman empire
848,muslim conquests
849,alexandria
850,antioch
851,greek urban settlements
852,middle east and north africa
853,alexander the great
854,jerusalem during the second temple period
855,judaizers
856,hebrew bible
857,biblical hebrew
858,biblical aramaic
859,jewish koine greek
860,targum
861,torah
862,moses
863,pharisees
864,essenes
865,sadducees
866,sources for the historicity of jesus
867,josephus on jesus
868,tacitus on christ
869,
870,roman-jewish
871,alexander the great
872,criterion of independent attestation
873,criterion of coherence
874,criterion of discontinuity
875,jesus seminar
876,gospel of thomas
877,q source
878,josephus
879,tacitus
880,louis feldman
881,antiquities of the jews
882,annals
883,capernaum
884,forum
885,agora
886,chronology of jesus
887,anno domini
888,saturnalia § influence
889,a series
890,jewish christianity
891,
892,in christianity
893,john the baptist
894,simon peter
895,twelve apostles
896,james the just
897,simeon of jerusalem
898,jude
899,paul
900,ebionites
901,elcesaites
902,nazarenes
903,hebrew christian movement
904,messianic judaism
905,hebrew roots
906,judaizers
907,legalists
908,split of christianity and judaism
909,paul and judaism
910,marcionism
911,christian anti-semitism
912,constantine
913,circumcision controversy
914,gospel of matthew
915,epistle of james
916,jewish–christian gospels
917,gospel of the ebionites
918,gospel of the hebrews
919,gospel of the nazarenes
920,clementine
921,didache
922,book of elchasai
923,aramaic of jesus
924,yeshua (name)
925,council of jerusalem
926,expounding of the law
927,sabbath
928,quartodecimanism
929,shekhinah
930,judaism portal
931,
932,christianity portal
933,v
934,t
935,e
936,judea
937,john the baptist
938,pontius pilate
939,herod the great
940,census of quirinius
941,ministry
942,tiberius
943,temple in jerusalem
944,death of john the baptist
945,herod antipas
946,herodias
947,conversion of paul
948,pauline epistles
949,acts of the apostles
950,passover
951,hebrew calendar
952,julian
953,historicity of jesus
954,cultural and historical background of jesus
955,history of the jews in the roman empire
956,historical criticism
957,textual criticism
958,historical reliability of the gospels
959,
960,
961,tacitus
962,great fire of rome
963,nero
964,brothers of jesus
965,charismatic leaders
966,james
967,géza vermes
968,virgin birth of jesus
969,synoptic problem
970,attested
971,e. p. sanders
972,birth narratives
973,gospel of matthew
974,gospel of luke
975,bethlehem
976,moses
977,josephus
978,he massacred little boys
979,infancy gospels
980,infancy gospel of thomas
981,gospel of james
982,david
983,gospel of luke
984,blood relative
985,john the baptist
986,
987,jordan river
988,james d. g. dunn
989,criterion of embarrassment
990,sins
991,repent
992,john the baptist
993,galilee
994,judea
995,parables
996,paradoxical
997,to offer the other cheek
998,sermon on the mount
999,sermon on the plain
1000,miracles
1001,antiquity
1002,end times
1003,twelve disciples
1004,apocalyptic
1005,tribes of israel
1006,judas iscariot
1007,foil
1008,repentance
1009,john the baptist
1010,son of man
1011,son of man
1012,paul the apostle
1013,eschatological
1014,gerd theissen
1015,galilee
1016,jerusalem
1017,passover
1018,second temple
1019,sacrament of the holy eucharist
1020,first letter to the corinthians
1021,pontius pilate
1022,prefect
1023,judaea
1024,
1025,l. michael white
1026,historical jesus
1027,quest for the historical jesus
1028,apocalyptic
1029,john the baptist
1030,paul the apostle
1031,burton mack
1032,eschatological
1033,sage
1034,cynic philosopher
1035,egalitarian
1036,social change
1037,zealot
1038,language of jesus
1039,race and appearance of jesus
1040,
1041,jewish palestinian aramaic
1042,hebrew
1043,greek
1044,galilean dialect
1045,koine greek
1046,judea
1047,ioudaios
1048,second temple judaism
1049,amy-jill levine
1050,olive-brown skin
1051,christ myth theory
1052,gospels
1053,myth
1054,bruno bauer
1055,albert kalthoff
1056,arthur drews
1057,historical jesus
1058,religious perspectives on jesus
1059,human history
1060,rejected him as the messiah
1061,judaism
1062,ecumenical councils
1063,christian denominations
1064,manichaeans
1065,gnostics
1066,muslims
1067,druzes
1068,baháʼí faith
1069,jesus in christianity
1070,christ (title)
1071,christology
1072,
1073,trinity
1074,god the father
1075,god the son
1076,jesus
1077,god the holy spirit
1078,
1079,alpha and omega
1080,catacombs of rome
1081,denominations
1082,catechetical
1083,confessional
1084,new testament
1085,canonical gospels
1086,pauline epistles
1087,johannine writings
1088,son of god
1089,major and minor differences
1090,resurrection of jesus
1091,reconciled with god
1092,salvation
1093,eternal life
1094,john the baptist
1095,gospel of john
1096,lamb of god
1097,new and last adam
1098,adam's disobedience
1099,theological debate
1100,god the son
1101,reformation
1102,michael servetus
1103,socinians
1104,the church of jesus christ of latter-day saints
1105,unitarians
1106,jehovah's witnesses
1107,his name
1108,holy name of jesus
1109,eastern
1110,western christianity
1111,judaism's view of jesus
1112,jesus in the talmud
1113,judaism
1114,tanakh
1115,third temple
1116,malachi
1117,range of stories
1118,talmud
1119,yeshu
1120,acronym
1121,mishneh torah
1122,jewish law
1123,moses maimonides
1124,toledot yeshu
1125,pandera
1126,jesus in manichaeism
1127,manichaeism
1128,zoroaster
1129,gautama buddha
1130,mani
1131,jesus in islam
1132,
1133,a series
1134,islam
1135,islamic prophets
1136,prophets in the quran
1137,ʾādam
1138,adam
1139,ʾidrīs
1140,enoch
1141,nūḥ
1142,noah
1143,hūd
1144,eber
1145,ṣāliḥ
1146,selah
1147,ʾibrāhīm
1148,abraham
1149,lūṭ
1150,lot
1151,ʾismāʿīl
1152,ishmael
1153,ʾisḥāq
1154,isaac
1155,yaʿqūb
1156,jacob
1157,yūsuf
1158,joseph
1159,ayūb
1160,job
1161,shuʿayb
1162,jethro
1163,mūsā
1164,moses
1165,hārūn
1166,aaron
1167,dhu al-kifl
1168,ezekiel
1169,dāūd
1170,david
1171,sulaymān
1172,solomon
1173,yūnus
1174,jonah
1175,ʾilyās
1176,elijah
1177,alyasaʿ
1178,elisha
1179,zakarīya
1180,zechariah
1181,yaḥyā
1182,john
1183,ʿīsā
1184,muḥammad
1185,muhammad
1186,main events
1187,stories of the prophets
1188,the three messengers
1189,"jews, christians, and muslims prophets"
1190,abrahamic prophets
1191,islam portal
1192,v
1193,t
1194,e
1195,
1196,persian miniature
1197,ʿīsā
1198,messenger
1199,god
1200,allāh
1201,al-masīḥ
1202,children of israel
1203,injīl
1204,taḥrīf
1205,muhammad
1206,messengers of god
1207,muslim
1208,son of god
1209,monotheism
1210,tawḥīd
1211,idolatry
1212,maryam
1213,his spirit
1214,his pre-existence
1215,miracles
1216,precursor
1217,sunni
1218,twelver shi'ite
1219,substitute
1220,ghulāt
1221,al-mufaddal ibn umar al-ju'fi
1222,brethren of purity
1223,isma'ili
1224,al-ghazali
1225,docetic
1226,ascension
1227,crucifixion
1228,islamic theories of salvation
1229,islamic eschatology
1230,he will return to earth
1231,end of time
1232,antichrist
1233,ad-dajjal
1234,muhammad
1235,surah as-saf
1236,jesus in ahmadiyya islam
1237,ahmadiyya
1238,distinct teachings
1239,kashmir
1240,india
1241,roza bal
1242,jesus in druze faith
1243,druze
1244,adam
1245,noah
1246,abraham
1247,moses
1248,muhammad
1249,muhammad ibn isma'il
1250,manifestation of god
1251,buddha
1252,muhammad
1253,christianity
1254,baháʼí faith
1255,manifestations of god
1256,abraham
1257,moses
1258,krishna
1259,zarathushtra
1260,buddha
1261,muhammad
1262,baháʼu'lláh
1263,progressive revelation
1264,criticism of jesus
1265,
1266,abolitionist
1267,the liberator
1268,
1269,manichaean
1270,qocho
1271,christian gnosticism
1272,gnosis
1273,docetics
1274,hindus
1275,avatar
1276,sadhu
1277,paramahansa yogananda
1278,guru
1279,elisha
1280,john the baptist
1281,elijah
1282,buddhists
1283,"tenzin gyatso, the 14th dalai lama"
1284,bodhisattva
1285,new age
1286,theosophists
1287,master jesus
1288,reformer
1289,various incarnations
1290,the urantia book
1291,antony theodore
1292,quran
1293,vedas
1294,upanishads
1295,talmud
1296,avesta
1297,atheists
1298,his mental health
1299,richard dawkins
1300,depiction of jesus
1301,
1302,dura europos
1303,dura-europos church
1304,early christian art
1305,catacombs of rome
1306,controversial
1307,icons
1308,byzantine iconoclasm
1309,protestant reformation
1310,resistance to imagery
1311,anglicans
1312,catholics
1313,eastern orthodox
1314,transfiguration
1315,icon
1316,renaissance
1317,fra angelico
1318,giotto
1319,crucifix
1320,relics associated with jesus
1321,
1322,shroud of turin
1323,siege of jerusalem
1324,margaret m. mitchell
1325,eusebius
1326,ecclesiastical history
1327,pella
1328,joe nickell
1329,relics
1330,erasmus
1331,cross used in the crucifixion
1332,holy nails
1333,crown of thorns
1334,pilgrims
1335,shroud of turin
1336,catholic devotion
1337,holy face of jesus
1338,popes
1339,john paul ii
1340,benedict xvi
1341,outline of jesus
1342,jesuism
1343,jesus in comparative mythology
1344,jesus in islam
1345,jesus in the talmud
1346,language of jesus
1347,last adam
1348,liminal deity
1349,list of books about jesus
1350,list of founders of religious traditions
1351,list of messiah claimants
1352,list of people claimed to be jesus
1353,list of people who have been considered deities
1354,list of statues of jesus
1355,sexuality of jesus
1356,tiberius julius abdes pantera
1357,john p. meier
1358,karl rahner
1359,e. p. sanders
1360,jack finegan
1361,james dunn
1362,bart ehrman
1363,john dominic crossan
1364,gregory a. boyd
1365,greek
1366,hebrew
1367,aramaic
1368,coptic
1369,geʽez
1370,greek
1371,hebrew
1372,latin
1373,slavonic
1374,syriac
1375,bart ehrman
1376,richard a. burridge
1377,robert m. price
1378,james d. g. dunn
1379,michael grant
1380,classicist
1381,robert e. van voorst
1382,the daily beast
1383,candida moss
1384,eastern christian
1385,julian calendar
1386,new revised standard version
1387,genealogy of jesus § comparison of the two genealogies
1388,genealogy of jesus § explanations for divergence
1389,amy-jill levine
1390,ioudaios
1391,matthew 2
1392,samaritan woman at the well
1393,john 4
1394,earl doherty
1395,apostolic age
1396,early church
1397,christology
1398,first seven ecumenical councils
1399,subordinationism
1400,sabellianism
1401,flavius josephus
1402,the jewish war
1403,aelia capitolina
1404,nature
1405,philip ball
1406,isbn
1407,978-0-8028-0977-3
1408,isbn
1409,978-0-8308-7853-6
1410,isbn
1411,978-0-521-04460-8
1412,isbn
1413,978-0-684-14889-2
1414,wayback machine
1415,isbn
1416,9780310534761
1417,isbn
1418,978-1-932792-93-5
1419,catholic encyclopedia
1420,isbn
1421,978-1-58983-482-8
1422,leviticus
1423,exodus 30
1424,isbn
1425,978-0-8028-2416-5
1426,isbn
1427,978-0-8028-2505-6
1428,isbn
1429,978-0-8010-2868-7
1430,isbn
1431,978-1-4335-1978-9
1432,isbn
1433,978-0-521-00802-0
1434,isbn
1435,978-0-19-925425-5
1436,isbn
1437,978-88-902268-0-9
1438,kregel publications
1439,isbn
1440,978-0-8254-9571-7
1441,oxford english dictionary
1442,oxford university press
1443,isbn
1444,978-0-8146-5806-2
1445,isbn
1446,978-0-8028-0680-2
1447,isbn
1448,978-0-19-955787-5
1449,isbn
1450,978-0-8054-4843-6
1451,isbn
1452,978-0-8010-2684-3
1453,matthew 1
1454,luke 2
1455,"france, r. t."
1456,isbn
1457,978-0-8028-0063-3
1458,isbn
1459,978-0-567-04073-2
1460,isbn
1461,978-0-85244-224-1
1462,isbn
1463,978-0-415-26036-7
1464,doi
1465,issn
1466,jstor
1467,matthew 1:19
1468,20
1469,isbn
1470,978-0-8010-3192-2
1471,isbn
1472,978-0-8028-4438-5
1473,isbn
1474,978-0-87973-573-9
1475,oclc
1476,"aslan, reza"
1477,isbn
1478,978-1-4000-6922-4
1479,isbn
1480,978-1-134-50949-2
1481,pg
1482,pg
1483,pg
1484,nicephorus callistus
1485,isbn
1486,978-0-521-79678-1
1487,isbn
1488,978-0-385-52699-9
1489,isbn
1490,978-0-8028-3711-0
1491,isbn
1492,978-0-8028-3318-1
1493,isbn
1494,978-0-918954-76-3
1495,isbn
1496,978-1-4286-3189-2
1497,isbn
1498,978-0-521-80766-1
1499,isbn
1500,978-0-8146-3260-4
1501,matthew 5–7
1502,isbn
1503,978-0-8308-2668-1
1504,isbn
1505,978-0-521-43078-4
1506,isbn
1507,978-0-8028-4255-8
1508,isbn
1509,978-0-8254-9715-5
1510,isbn
1511,978-1-886249-02-8
1512,isbn
1513,978-0-8308-3967-4
1514,isbn
1515,978-1-4267-2475-6
1516,isbn
1517,978-0-19-974391-9
1518,isbn
1519,978-0-85364-624-2
1520,isbn
1521,978-0-310-25150-7
1522,isbn
1523,978-0-8028-3717-2
1524,isbn
1525,978-0-310-30940-6
1526,isbn
1527,978-0-310-28101-6
1528,isbn
1529,978-1-4514-1007-5
1530,isbn
1531,978-0-8146-2211-7
1532,isbn
1533,978-0-664-25752-1
1534,isbn
1535,978-3-11-018151-7
1536,isbn
1537,978-0-310-28011-8
1538,isbn
1539,978-1-313-53490-1
1540,catholic encyclopedia
1541,isbn
1542,978-1-4514-1598-8
1543,isbn
1544,978-0-664-25260-1
1545,isbn
1546,978-0-8028-0453-2
1547,isbn
1548,978-1-4412-3659-3
1549,josephus
1550,isbn
1551,978-0-8028-3782-0
1552,isbn
1553,978-0-8054-9548-5
1554,isbn
1555,978-88-7653-625-0
1556,isbn
1557,978-1-58595-315-8
1558,isbn
1559,978-0-8254-9619-6
1560,isbn
1561,978-0-8146-5460-6
1562,isbn
1563,978-0-14-191263-9
1564,isbn
1565,978-0-8028-0966-7
1566,isbn
1567,978-0-8146-5807-9
1568,catholic encyclopedia
1569,wayback machine
1570,septuagint
1571,new testament epoch
1572,isbn
1573,978-0-674-22052-2
1574,historical reliability of the acts of the apostles
1575,isbn
1576,978-0-19-280290-3
1577,isbn
1578,978-0-664-25017-1
1579,"fee, gordon"
1580,"stuart, douglas"
1581,isbn
1582,978-0-310-51783-2
1583,isbn
1584,978-0-19-508481-8
1585,amy-jill levine
1586,isbn
1587,978-0-691-00992-6
1588,isbn
1589,978-0-8028-6353-9
1590,isbn
1591,978-1-56338-094-5
1592,isbn
1593,978-1-58983-293-0
1594,isbn
1595,978-1-139-05512-3
1596,isbn
1597,978-1-58983-293-0
1598,isbn
1599,978-1-58983-293-0
1600,isbn
1601,978-0-567-64517-3
1602,isbn
1603,978-0-19-508481-8
1604,isbn
1605,978-0-521-79678-1
1606,isbn
1607,978-0-8254-3260-6
1608,isbn
1609,978-0-391-04118-9
1610,isbn
1611,978-0-8091-4445-7
1612,isbn
1613,978-0-8028-4880-2
1614,isbn
1615,978-0-307-49918-9
1616,isbn
1617,978-0-691-00992-6
1618,isbn
1619,978-0-8146-5108-7
1620,isbn
1621,978-0-8028-2315-1
1622,isbn
1623,978-0-8308-2699-5
1624,bibcode
1625,"funk, robert w."
1626,the jesus seminar
1627,isbn
1628,978-0-8028-3784-4
1629,isbn
1630,978-0-8499-0232-1
1631,isbn
1632,978-1-4412-0010-5
1633,isbn
1634,978-1-4443-3090-8
1635,"bruner, frederick dale"
1636,isbn
1637,978-0-8028-1118-9
1638,isbn
1639,978-0-567-66817-2
1640,isbn
1641,978-0-89870-686-4
1642,"funk, robert w."
1643,the jesus seminar
1644,isbn
1645,978-0-8146-5933-5
1646,isbn
1647,978-1-57506-100-9
1648,isbn
1649,978-0-521-81239-9
1650,isbn
1651,978-90-04-16372-0
1652,isbn
1653,978-0-7188-2634-5
1654,doi
1655,isbn
1656,978-90-04-09921-0
1657,isbn
1658,978-0-8028-2402-8
1659,"porter, stanley e."
1660,isbn
1661,90-04-09921-2
1662,isbn
