word,freq
technology,78
technological,32
human,30
use,22
used,17
tool,15
social,15
like,15
ethic,15
scientific,14
new,12
knowledge,12
including,12
first,12
could,12
bce,12
research,11
progress,11
early,11
discovery,11
development,11
around,11
wheel,10
u,10
society,10
issue,10
impact,10
also,10
ai,10
science,9
led,9
lead,9
include,9
engineering,9
century,9
time,8
stone,8
revolution,8
machine,8
life,8
known,8
increase,8
economic,8
computer,8
complex,8
value,7
system,7
study,7
risk,7
modern,7
many,7
invention,7
innovation,7
future,7
found,7
form,7
fire,7
developed,7
world,6
way,6
researcher,6
one,6
nature,6
movement,6
may,6
later,6
labor,6
kya,6
job,6
intelligence,6
example,6
ethical,6
discipline,6
copper,6
change,6
artificial,6
ancient,6
age,6
would,5
water,5
unemployment,5
since,5
significant,5
roman,5
role,5
road,5
production,5
practice,5
power,5
pollution,5
philosopher,5
patent,5
often,5
negative,5
needed,5
million,5
invented,5
increasingly,5
field,5
evidence,5
energy,5
culture,5
cultural,5
cryptocurrency,5
construction,5
cause,5
built,5
automation,5
allowed,5
them,4
still,4
robot,4
public,4
process,4
privacy,4
printing,4
nuclear,4
neolithic,4
need,4
nanotechnology,4
minoan,4
medicine,4
made,4
km,4
internet,4
increased,4
greek,4
even,4
environment,4
earliest,4
debate,4
dating,4
creation,4
concern,4
came,4
believe,4
began,4
basic,4
average,4
art,4
area,4
aqueduct,4
application,4
analysis,4
advance,4
year,3
worker,3
wooden,3
wood,3
whether,3
war,3
using,3
upon,3
treatment,3
thing,3
term,3
specific,3
societal,3
shifted,3
robotics,3
river,3
result,3
related,3
rapid,3
range,3
progression,3
practical,3
pottery,3
political,3
policymakers,3
philosophy,3
past,3
palace,3
opportunity,3
novel,3
north,3
native,3
much,3
mitigate,3
method,3
metal,3
mesopotamia,3
meaning,3
make,3
major,3
likely,3
leading,3
large,3
island,3
irrigation,3
introduction,3
initially,3
industrial,3
idea,3
humanity,3
helped,3
greater,3
goal,3
global,3
general,3
freedom,3
food,3
follow,3
focus,3
expert,3
existential,3
evolution,3
every,3
europe,3
estimate,3
era,3
environmental,3
encompasses,3
education,3
economist,3
debated,3
date,3
create,3
craft,3
control,3
contributed,3
considered,3
concerned,3
communication,3
clothing,3
civilization,3
chimpanzee,3
brought,3
behavior,3
become,3
became,3
atomic,3
archaeological,3
animal,3
among,3
agriculture,3
advancement,3
academic,3
ability,3
1970s,3
1960s,3
–,2
working,2
work,2
word,2
within,2
windmill,2
wind,2
wider,2
wide,2
wheeled,2
welfare,2
warming,2
warfare,2
view,2
usually,2
ushered,2
ur,2
tékhnē,2
two,2
triggered,2
trial,2
trend,2
transport,2
transhumanism,2
training,2
trade,2
toilet,2
three,2
though,2
this,2
thinker,2
the,2
telephone,2
technoutopianism,2
technoutopian,2
technologie,2
technique,2
technik,2
task,2
systematic,2
survey,2
surrounding,2
superintelligence,2
sumerian,2
starting,2
spread,2
source,2
sophisticated,2
software,2
smelting,2
side,2
ship,2
shelter,2
sewage,2
several,2
seen,2
security,2
second,2
search,2
scholarship,2
said,2
running,2
rise,2
revolutionized,2
resulting,2
report,2
replace,2
relies,2
referred,2
recent,2
ray,2
raising,2
radio,2
question,2
pure,2
prosperity,2
professional,2
private,2
press,2
present,2
prehistoric,2
preceding,2
potter,2
potential,2
postscarcity,2
population,2
politics,2
polished,2
physic,2
pharmaceutical,2
people,2
pay,2
paved,2
particularly,2
part,2
paleolithic,2
others,2
organized,2
organism,2
ore,2
optical,2
oppress,2
on,2
oldest,2
obligation,2
notion,2
nonhuman,2
nile,2
nick,2
natural,2
national,2
mya,2
mutual,2
movie,2
moral,2
molecular,2
mixer,2
military,2
mean,2
matter,2
mass,2
manufacturing,2
lowered,2
look,2
longterm,2
longer,2
long,2
living,2
literature,2
lever,2
level,2
learning,2
le,2
law,2
launch,2
kurzweil,2
it,2
is,2
iron,2
interdisciplinary,2
intended,2
intelligent,2
information,2
influenced,2
industry,2
in,2
improving,2
improved,2
ideology,2
however,2
hominid,2
home,2
history,2
hide,2
help,2
harm,2
greenhouse,2
gradually,2
government,2
german,2
genetic,2
futuristic,2
fundamentally,2
french,2
framed,2
forming,2
for,2
followed,2
far,2
extension,2
explores,2
expected,2
everyday,2
ever,2
essay,2
error,2
entire,2
ensuring,2
english,2
engineer,2
enabled,2
emergence,2
either,2
effort,2
effect,2
economy,2
economics,2
earth,2
downside,2
directed,2
digital,2
determinism,2
destruction,2
derived,2
democracy,2
deforestation,2
deal,2
dangerous,2
cyberpunk,2
creating,2
cook,2
contribute,2
continued,2
constraint,2
consensus,2
collapse,2
cloning,2
citystate,2
city,2
citation,2
child,2
chemistry,2
charcoal,2
chance,2
central,2
center,2
cell,2
causing,2
cart,2
carried,2
cambridge,2
called,2
bronze,2
branch,2
brain,2
bostrom,2
body,2
blenderio,2
biotechnology,2
biology,2
biological,2
bias,2
beginning,2
backlash,2
axe,2
autonomous,2
attempt,2
atmosphere,2
assumption,2
artifact,2
argument,2
argue,2
