,links
477,greek words for love
478,
479,lysippus
480,eros
481,greek
482,several different senses
483,familiarity
484,storge
485,friendship
486,platonic desire
487,philia
488,romantic desire
489,eros
490,self-emptying
491,agape
492,bible
493,verb
494,phileo
495,agape
496,ideal type
497,eros
498,eros
499,plato
500,philia
501,aristotle
502,nicomachean ethics
503,storge
504,xenia
505,ancient greece
506,greek mythology
507,homer
508,iliad
509,odyssey
510,latin language
511,italian
512,rome
513,anagram
514,cicero
515,de amicitia
516,ovid
517,ars amatoria
518,extramarital affairs
519,catullus
520,caritas
521,roman literature
522,conflation
523,
524,chinese character
525,heart
526,confucianism
527,mohism
528,ren
529,filial piety
530,mozi
531,chinese buddhism
532,mandarin chinese
533,japanese language
534,meiji restoration
535,man'yōshū
536,kanji
537,the anatomy of dependence
538,
539,krishna
540,radha
541,raja ravi varma
542,sanskrit
543,kama
544,vedas
545,rig veda
546,rig veda
547,
548,cite
549,sources
550,adding citations to reliable sources
551,removed
552,learn how and when to remove this template message
553,sa'di
554,gulistan
555,rumi
556,hafiz
557,sa'di
558,persian culture
559,ishq
560,arabic
561,religious views on love
562,
563,robert indiana
564,love sculpture
565,jewish views on love
566,hebrew
567,chesed
568,torah
569,leviticus
570,deuteronomy
571,mishnah
572,oral law
573,rabbinic literature
574,ecclesiastes
575,david wolpe
576,song of solomon
577,god
578,rabbi
579,eliyahu eliezer dessler
580,
581,god
582,agape
583,new testament
584,phileo
585,eros
586,storge
587,christians
588,neighbor
589,greatest commandment
590,torah
591,jesus
592,gospel of mark
593,saint augustine
594,the apostle paul
595,1 corinthians
596,the apostle john
597,john
598,saint augustine
599,citation needed
600,de doctrina christiana
601,theologians
602,c. s. lewis
603,the four loves
604,benedict xvi
605,encyclical
606,god is love
607,agape
608,teresa of calcutta
609,"mary, the mother of jesus"
610,
611,jesus crucified
612,pope francis
613,jesus crucified
614,thomas aquinas
615,tertullian
616,
617,allah
618,surah
619,qur'an
620,clarification needed
621,ishq
622,sufism
623,love of god
624,paris talks
625,`abdu'l-bahá
626,
627,cite
628,sources
629,adding citations to reliable sources
630,removed
631,learn how and when to remove this template message
632,buddhism
633,kāma
634,enlightenment
635,karuṇā
636,adveṣa
637,mettā
638,bodhisattva
639,kama
640,kama sutra
641,
642,chennakesava temple
643,belur
644,hinduism
645,kāma
646,kamadeva
647,sugar cane
648,relevant?
649,rati
650,relevant?
651,kamadeva
652,"chennakeshava temple, belur"
653,karnataka
654,india
655,relevant?
656,citation needed
657,karuṇā
658,bhakti
659,sanskrit
660,bhagavata purana
661,tulsidas
662,narada bhakti sutra
663,narada
664,vaishnava
665,hinduism
666,clarification needed
667,radha
668,krishna
669,radha
670,krishna
671,india
672,gita govinda
673,jayadeva
674,hinduism
675,free love
676,social movement
677,marriage
678,birth control
679,adultery
680,citation needed
681,feminism
682,philosophy of love
683,social philosophy
684,ethics
685,value
686,autonomy
687,
688,ford madox brown
689,
690,color wheel theory of love
691,finger heart
692,hand heart
693,heart in hand
694,human bonding
695,ily sign
696,love at first sight
697,love-in
698,pair bond
699,polyamory
700,relationship science
701,romance (love)
702,self-love
703,social connection
704,agape
705,philia
706,philautia
707,storge
708,eros
709,love
710,oxford english dictionary
711,cambridge english dictionary
712,doi
713,isbn
714,978-3-319-42681-5
715,page needed
716,doi
717,isbn
718,978-981-334-833-2
719,s2cid
720,page needed
721,doi
722,isbn
723,978-94-007-0752-8
724,isbn
725,978-0-06-095828-2
726,isbn
727,978-0805069136
728,"liddell, henry george; scott, robert"
729,cite book
730,link
731,isbn
732,978-0-14-044918-1
733,"nygren, anders theodor samuel"
734,agape and eros
735,doi
736,aristotle
737,nicomachean ethics
738,summa theologiae
739,doi
740,issn
741,ssrn
742,"baba, meher"
743,isbn
744,978-1-880619-09-4
745,isbn
746,978-1-74129-007-3
747,a general theory of love
748,isbn
749,978-0-375-70922-7
750,doi
751,pmid
752,s2cid
753,isbn
754,978-0-03-093780-4
755,doi
756,pmid
757,s2cid
758,doi
759,citeseerx
760,doi
761,pmid
762,isbn
763,978-0030830037
764,"berscheid, ellen"
765,isbn
766,978-0-201-00560-8
767,lccn
768,isbn
769,978-0-671-25067-6
770,doi
771,the four loves
772,isbn
773,978-0-691-02010-5
774,stendhal
775,denis de rougemont
776,benjamin péret
777,isbn
778,978-1-135-98863-0
779,isbn
780,0-8239-2287-1
781,isbn
782,978-81-89093-37-2
783,isbn
784,978-1-111-72620-1
785,isbn
786,978-81-8069-544-5
787,time
788,augustine of hippo
789,augustine of hippo
790,confessions
791,pope francis
792,facebook
793,socialists
794,page needed
795,doi
796,s2cid
797,"kierkegaard, søren"
798,works of love
799,isbn
800,978-0-19-283372-3
801,isbn
802,978-0-8050-6913-6
803,doi
804,isbn
805,978-0-06-171327-9
806,isbn
807,978-1-58743-257-6
808,isbn
809,978-0-226-76094-0
810,doi
811,doi
812,isbn
813,978-0-8128-6134-1
814,isbn
815,978-0-205-35868-7
816,sister projects
817,curlie
818,curlie
819,curlie
820,v
821,t
822,e
823,emotions
824,list
825,emotions
826,acceptance
827,admiration
828,adoration
829,aesthetic
830,affection
831,agitation
832,agony
833,amusement
834,anger
835,angst
836,anguish
837,annoyance
838,anticipation
839,anxiety
840,apathy
841,arousal
842,attraction
843,awe
844,boredom
845,calmness
846,compassion
847,confidence
848,confusion
849,contempt
850,contentment
851,courage
852,cruelty
853,curiosity
854,defeat
855,depression
856,desire
857,disappointment
858,disgust
859,distrust
860,doubt
861,ecstasy
862,embarrassment
863,vicarious
864,emotion work
865,empathy
866,emptiness
867,enthrallment
868,enthusiasm
869,envy
870,euphoria
871,excitement
872,faith
873,fear
874,flow
875,frustration
876,gratification
877,gratitude
878,greed
879,grief
880,guilt
881,happiness
882,hatred
883,hiraeth
884,homesickness
885,hope
886,horror
887,hostility
888,humiliation
889,hygge
890,hysteria
891,indulgence
892,infatuation
893,insecurity
894,inspiration
895,interest
896,irritation
897,isolation
898,jealousy
899,joy
900,kindness
901,loneliness
902,limerence
903,at first sight
904,lust
905,mono no aware
906,neglect
907,nostalgia
908,outrage
909,panic
910,passion
911,pity
912,self-pity
913,pleasure
914,pride
915,grandiosity
916,hubris
917,insult
918,vanity
919,rage
920,regret
921,rejection
922,relief
923,remorse
924,resentment
925,revenge
926,sadness
927,melancholy
928,saudade
929,schadenfreude
930,sehnsucht
931,sentimentality
932,shame
933,shock
934,shyness
935,social connection
936,sorrow
937,spite
938,stress
939,chronic
940,suffering
941,surprise
942,sympathy
943,trust
944,wonder
945,sense of wonder
946,worry
947,
948,
949,worldviews
950,cynicism
951,defeatism
952,nihilism
953,optimism
954,pessimism
955,reclusion
956,weltschmerz
957,consciousness
958,in education
959,measures
960,in psychology
961,computing
962,forecasting
963,neuroscience
964,science
965,spectrum
966,positive
967,negative
968,appeal to emotion
969,amygdala hijack
970,and art
971,and memory
972,and music
973,and sex
974,and sleep
975,classification
976,evolution
977,expressed
978,functional accounts
979,group
980,homeostatic
981,in animals
982,perception
983,recognition
984,in conversation
985,regulation
986,interpersonal
987,work
988,aperture
989,bias
990,blackmail
991,competence
992,conflict
993,contagion
994,detachment
995,dysregulation
996,eating
997,exhaustion
998,expression
999,and gender
1000,intelligence
1001,and bullying
1002,empathy quotient
1003,intimacy
1004,isolation
1005,lability
1006,labor
1007,lateralization
1008,literacy
1009,prosody
1010,reasoning
1011,responsivity
1012,security
1013,symbiosis
1014,emotional thought method
1015,well-being
1016,emotionality
1017,bounded
1018,and culture
1019,history
1020,in decision-making
1021,in the workplace
1022,in virtual communication
1023,moral
1024,self-conscious
1025,social
1026,social sharing
1027,sociology
1028,feeling
1029,group affective tone
1030,interactions between the emotional and executive brain systems
1031,jealousy in art
1032,meta-emotion
1033,pathognomy
1034,pathos
1035,social emotional development
1036,stoic passions
1037,affect
1038,appraisal
1039,constructed emotion
1040,discrete emotion
1041,somatic marker
1042,v
1043,t
1044,e
1045,interpersonal relationships
1046,romantic
1047,boyfriend
1048,girlfriend
1049,cohabitation
1050,significant other
1051,domestic partnership
1052,same-sex relationship
1053,monogamy
1054,marriage
1055,husband
1056,wife
1057,soulmate
1058,widowhood
1059,non-monogamy
1060,open relationship
1061,open marriage
1062,polyamory
1063,polyfidelity
1064,polygamy
1065,concubinage
1066,mistress
1067,casual sex
1068,casual dating
1069,friends with benefits
1070,enjo kōsai
1071,sexual partner
1072,one-night stand
1073,courtesan
1074,gigolo
1075,sugar dating
1076,acquaintance
1077,enemy
1078,friendship
1079,kinship
1080,family
1081,siblings
1082,platonic love
1083,queerplatonic relationship
1084,stranger
1085,familiar
1086,consequential
1087,sycophancy
1088,cicisbeo
1089,seraglio
1090,plaçage
1091,marriage à la façon du pays
1092,royal mistress
1093,royal favorite
1094,maîtresse-en-titre
1095,romantic friendship
1096,bonding
1097,courtship
1098,dating
1099,romance
1100,mating
1101,breakup
1102,annulment
1103,divorce
1104,legal
1105,marital
1106,meet market
1107,singles event
1108,wedding
1109,affinity
1110,attachment
1111,compersion
1112,intimacy
1113,jealousy
1114,limerence
1115,passion
1116,unconditional love
1117,bride price
1118,dower
1119,dowry
1120,gold digging
1121,hypergamy
1122,infidelity
1123,relationship anarchy
1124,repression
1125,sexual activity
1126,transgression
1127,abuse
1128,child abuse
1129,dating violence
1130,domestic violence
1131,elder abuse
1132,v
1133,t
1134,e
1135,virtues
1136,endowment
1137,moral character
1138,nicomachean ethics
1139,positive psychology
1140,trait theory
1141,virtue ethics
1142,bodhipakkhiyā dhammā
1143,brahmavihārās
1144,cardinal virtues
1145,catalogue of vices and virtues
1146,epistemic virtues
1147,five virtues
1148,four cardinal principles and eight virtues
1149,nine noble virtues
1150,pāramīs
1151,prussian virtues
1152,scout law
1153,seven virtues
1154,teachings of the seven grandfathers
1155,theological virtues
1156,three treasures
1157,values in action inventory of strengths
1158,yamas
1159,accountability
1160,alertness
1161,altruism
1162,authenticity
1163,calmness
1164,charisma
1165,charity
1166,chastity
1167,chivalry
1168,cleanliness
1169,compassion
1170,conscientiousness
1171,courage
1172,civil
1173,moral
1174,courtesy
1175,diligence
1176,discernment
1177,discipline
1178,duty
1179,empathy
1180,endurance
1181,equanimity
1182,etiquette
1183,faith
1184,faithfulness
1185,fidelity
1186,foresight
1187,forgiveness
1188,frugality
1189,generosity
1190,glory
1191,good faith
1192,gratitude
1193,heroism
1194,honesty
1195,honour
1196,hope
1197,hospitality
1198,humanity
1199,humility
1200,impartiality
1201,innocence
1202,insight
1203,integrity
1204,intelligence
1205,emotional
1206,social
1207,judgement
1208,justice
1209,kindness
1210,loyalty
1211,magnanimity
1212,magnificence
1213,meekness
1214,mercy
1215,moderation
1216,modesty
1217,nonattachment
1218,patience
1219,patriotism
1220,perspicacity
1221,philanthropy
1222,piety
1223,filial
1224,pity
1225,politeness
1226,prudence
1227,punctuality
1228,religion
1229,renunciation
1230,resilience
1231,respect
1232,reverence
1233,righteous indignation
1234,righteousness
1235,self-control
1236,self-cultivation
1237,self-transcendence
1238,simplicity
1239,sincerity
1240,solidarity
1241,sportsmanship
1242,sympathy
1243,taste
1244,temperance
1245,tranquillity
1246,trust
1247,wisdom
1248,wit
1249,workmanship
1250,de
1251,jing
1252,li
1253,ren
1254,yi
1255,agape
1256,arete
1257,ataraxia
1258,eutrapelia
1259,philotimo
1260,phronesis
1261,sophia
1262,sophrosyne
1263,adhiṭṭhāna
1264,ahimsa
1265,akrodha
1266,aparigraha
1267,ārjava
1268,asteya
1269,brahmacharya
1270,dāna
1271,dhṛti
1272,hrī
1273,karuṇā
1274,kshama
1275,kshanti
1276,mettā
1277,muditā
1278,prajñā
1279,satya
1280,shaucha
1281,sevā
1282,śraddhā
1283,saddhā
1284,upekṣā
1285,vīrya
1286,auctoritas
1287,caritas
1288,decorum
1289,dignitas
1290,fides
1291,gravitas
1292,humanitas
1293,pietas
1294,virtus
1295,ganbaru
1296,giri
1297,sadaqah
1298,seny
1299,sisu
1300,virtù
1301,authority control databases
1302,categories
1303,love
1304,emotions
1305,concepts in ethics
1306,fruit of the holy spirit
1307,personal life
1308,virtue
1309,mental states
1310,wikipedia articles needing page number citations from august 2023
1311,cs1 maint: multiple names: authors list
1312,articles containing french-language text
1313,cs1 hebrew-language sources (he)
1314,cs1: julian–gregorian uncertainty
1315,articles with short description
1316,short description is different from wikidata
1317,wikipedia indefinitely semi-protected pages
1318,wikipedia indefinitely move-protected pages
1319,use dmy dates from january 2018
1320,articles containing chamorro-language text
1321,articles containing ancient greek (to 1453)-language text
1322,articles containing sanskrit-language text
1323,articles containing arabic-language text
1324,articles containing hebrew-language text
1325,articles containing latin-language text
1326,articles containing portuguese-language text
1327,articles containing literary chinese-language text
1328,articles containing chinese-language text
1329,articles containing yámana-language text
1330,articles containing pali-language text
1331,articles containing italian-language text
1332,wikipedia articles needing clarification from august 2023
1333,articles needing more detailed references
1334,all articles with unsourced statements
1335,articles with unsourced statements from january 2023
1336,articles containing japanese-language text
1337,articles needing additional references from january 2012
1338,all articles needing additional references
1339,articles with unsourced statements from august 2023
1340,articles needing additional references from august 2023
1341,all articles that may have off-topic sections
1342,wikipedia articles that may have off-topic sections from august 2023
1343,articles to be expanded from may 2023
1344,all articles to be expanded
1345,articles with empty sections from may 2023
1346,all articles with empty sections
1347,articles using small message boxes
1348,pages displaying short descriptions of redirect targets via module:annotated link
1349,pages displaying wikidata descriptions as a fallback via module:annotated link
1350,cs1: long volume value
1351,pages using sister project links with wikidata namespace mismatch
1352,pages using sister project links with hidden wikidata
1353,pages using sister project links with default search
1354,articles with curlie links
1355,articles containing welsh-language text
1356,articles containing danish-language text
1357,articles containing german-language text
1358,articles containing catalan-language text
1359,articles with bne identifiers
1360,articles with bnf identifiers
1361,articles with bnfdata identifiers
1362,articles with gnd identifiers
1363,articles with j9u identifiers
1364,articles with lccn identifiers
1365,articles with lnb identifiers
1366,articles with ndl identifiers
1367,articles with nkc identifiers
1368,about wikipedia
1369,disclaimers
